client_id,invoice_amount,day_of_week,month,client_reliability_score,payment_days
client_4,4925.404134026793,0,5,0.36209177362993894,41
client_5,2294.7099910004886,0,6,0.38444510977042057,34
client_3,4173.943429487228,4,5,0.622545137622908,30
client_5,4092.55306243048,2,11,0.44443360288405476,31
client_5,1178.2289478444327,2,12,0.5549889027336528,33
client_2,2786.894495333234,4,5,0.6523920895983998,35
client_3,3631.1576305589683,3,4,0.7832763800405557,28
client_3,4362.614621661739,2,3,0.32751849788876924,40
client_3,1966.8150734084813,0,3,0.8595872792363298,21
client_5,1491.0847140449673,0,4,0.7395302726436354,28
client_4,3700.1728959710804,1,9,0.35723132236421035,36
client_3,4142.754707628719,2,2,0.911505036874744,20
client_5,2068.996942812782,3,9,0.9446106803722691,28
client_2,932.7944799113934,4,1,0.34275457189840464,29
client_4,4732.354690203218,4,1,0.4938143537030426,33
client_2,2289.0740948938505,3,5,0.8643408958551428,26
client_4,2829.8810773736604,6,6,0.8237817832685608,32
client_5,4269.695476582976,5,6,0.4291647135494641,32
client_1,3540.6055266767635,1,3,0.4465445263356972,33
client_4,3808.4725365834747,4,7,0.5593304719539673,32
client_2,1440.8222933197117,2,9,0.6391660896337149,28
client_5,2936.515882224046,1,11,0.7327783400712071,21
client_4,3631.02979705287,2,12,0.5582395476988407,40
client_1,1528.4750980878484,6,10,0.6237743012932035,25
client_1,1287.297171931713,0,8,0.8232296566936296,22
client_3,4919.75754498246,1,6,0.3256782420234185,35
client_3,2824.861510719564,4,12,0.4767058610408145,33
client_2,1673.7312867368405,1,8,0.7993447101191866,31
client_4,4983.14164891066,1,12,0.9266447863810395,25
client_4,4844.387080799572,1,5,0.6581742094809663,40
client_3,3012.320541231939,5,8,0.6724794396857209,30
client_4,4471.863544352029,1,10,0.37502040793784325,35
client_4,1349.1819875362073,2,12,0.6131886567764182,28
client_1,1754.9210866648184,0,4,0.6728320865185162,29
client_3,3651.6102348774707,6,10,0.46972935254431075,30
client_5,4309.975140072376,3,8,0.48847026166456664,36
client_3,4353.459313451416,1,10,0.5640989141732359,31
client_5,2320.2865720498553,4,12,0.3140498384444084,37
client_1,4494.965444424319,1,2,0.5254554159082248,36
client_2,4329.178019453807,4,12,0.44801360489758124,31
client_4,4710.357473994264,2,12,0.5292481465245402,42
client_1,4034.032930012746,4,5,0.38383349227347585,33
client_4,3510.4471462140286,3,9,0.9233690965179264,26
client_2,3113.089796464046,0,4,0.715514717487834,30
client_2,2175.272449527844,4,11,0.7753716234011426,28
client_1,4730.600491060003,4,6,0.8524198670251367,27
client_2,4881.487265398928,0,1,0.6489095392503401,27
client_5,1777.6443863185957,3,9,0.3608442016611966,32
client_2,1874.1373715497705,1,1,0.6759745792729834,21
client_4,2685.2618911380196,4,5,0.7107887826146153,31
client_4,2517.908643438113,0,4,0.821807631929031,19
client_4,4975.0585817486935,2,12,0.6021616823607755,37
client_4,1291.6636370480542,0,3,0.38930621195689463,24
client_5,581.339136269844,2,6,0.4986431340591071,31
client_3,2722.521718325456,3,2,0.5541576074790445,34
client_1,1304.7021914959796,1,3,0.7521420689321208,28
client_4,2149.1095306228694,0,5,0.6995448132682383,30
client_2,3848.76735375453,6,9,0.5492677081284923,28
client_4,3744.2296591345817,6,2,0.9905606741550858,22
client_2,1886.2735633357515,5,10,0.7240423735498209,26
client_2,2941.431037497047,4,8,0.4660587542151961,34
client_4,2789.66334577442,3,2,0.3712477308342826,34
client_5,3363.496781836529,0,11,0.4070013974290324,31
client_2,1627.0781837251286,6,5,0.47217040986915565,28
client_2,3154.4188140224473,4,7,0.4124769612816889,32
client_4,4905.017862237541,6,8,0.430596916835914,38
client_2,2690.339688317548,0,1,0.49956661808569297,25
client_2,4577.444544733493,2,6,0.4213615167063284,30
client_4,2454.774644796929,0,1,0.9277357972384975,28
client_4,2075.3528346260405,5,2,0.35616362196314955,41
client_1,3402.9651291375417,0,1,0.6671579726991782,33
client_5,3510.1582684839486,0,11,0.587277778892763,30
client_5,4388.754042823563,5,5,0.9876650318360244,28
client_2,1535.8337070869986,3,10,0.37842723151763663,36
client_5,2746.3702094813852,0,9,0.5784989193320191,24
client_2,3074.018896441324,5,6,0.9786293032927581,20
client_1,3958.4930643783905,4,11,0.9058549881257861,19
client_4,696.2169728949518,2,11,0.8719504496644959,19
client_4,4975.4772985880345,2,1,0.4805319789314579,30
client_4,2614.7503129592433,0,1,0.4196213111730461,29
client_5,1758.0215380854136,3,2,0.7680502539471017,26
client_1,4475.723100198165,3,9,0.95056319238931,19
client_5,3864.7344825383625,4,3,0.6897340251097508,26
client_5,4788.823311607789,0,1,0.7001288826289298,30
client_1,1988.3763710173116,2,5,0.4959853655621989,29
client_1,2987.442350759705,3,7,0.8386450532343558,30
client_1,3075.3161112687726,0,6,0.4309306239902663,41
client_1,4911.492126722205,6,12,0.5265754654829705,41
client_4,839.058152027577,3,1,0.5978055070314917,26
client_3,1875.6365867923182,5,5,0.6553272650791184,20
client_3,1359.0996401765572,6,5,0.4696868126905561,29
client_1,1708.1368560057058,3,6,0.38038577731744244,25
client_3,2683.7594342434204,2,3,0.7274340297091427,32
client_3,2177.0909019232217,1,5,0.502041387268179,37
client_1,2276.111600642625,6,7,0.7068667549958285,26
client_3,4298.959133268401,4,5,0.4080539006919416,32
client_5,4685.075756648744,4,5,0.6367980712983722,36
client_2,816.8725888229476,2,5,0.6728126027861101,25
client_2,1440.1342292691209,3,10,0.3362764757756988,28
client_1,3520.1458257082277,0,10,0.5356229947357444,39
client_4,2113.9105158327375,3,3,0.39409027385728196,39
client_1,1643.7364208138245,2,1,0.3443624793309374,38
client_4,1828.8076478852242,4,5,0.9929721626729616,13
client_2,1951.4784390737022,3,9,0.5256476914823061,35
client_1,4319.014077161035,4,1,0.8669121120982444,33
client_5,1114.7959914891296,6,3,0.4782484583346347,35
client_3,3690.099486095534,0,4,0.7770519055567504,28
client_4,2987.6898960855847,6,1,0.8321595019227805,21
client_3,1834.2956464150932,4,1,0.716947118425491,20
client_3,2389.0138540082444,4,8,0.6301033319851108,22
client_1,1652.9312461750612,1,2,0.588288639903088,34
client_3,3251.811698895562,1,12,0.5442077865800967,27
client_5,867.1738118010816,6,8,0.950670400973478,26
client_3,523.3318824829405,5,7,0.8814335854514104,14
client_1,3325.524867268862,6,10,0.9755188374665588,18
client_5,1374.23279080419,1,10,0.3870080564398813,30
client_2,819.2341264996745,4,2,0.811607232642551,26
client_3,2285.527222462498,2,6,0.9568383197747264,15
client_1,728.4583896772862,6,6,0.42686314631596206,23
client_2,4489.777170277969,4,3,0.3465473871567442,45
client_2,624.2754734316711,2,11,0.8187844545030413,19
client_4,3104.892029784014,2,2,0.7021311792259383,24
client_5,2473.1335535813914,1,12,0.8892801437307903,31
client_3,3524.1176088283974,6,1,0.39784066363840265,32
client_1,1976.6870036362936,3,6,0.8566871183019231,16
client_4,1197.6872752748488,0,12,0.44113912403342115,30
client_5,4918.28399739739,1,5,0.41455916000599313,43
client_4,4275.200759312135,1,11,0.414986058551695,36
client_5,4371.8207824025385,3,9,0.8702023041619674,27
client_5,1626.1311223213881,0,1,0.76563805448734,19
client_3,674.7563049324044,4,7,0.6661457973383835,27
client_5,1864.6948160295028,5,5,0.5511813388864517,31
client_4,2916.8709223849496,6,5,0.9140403785691757,19
client_5,1969.930588082184,5,2,0.5747115751958447,35
client_3,4225.410517044149,4,11,0.8716196076301039,22
client_3,1721.9431211888384,1,3,0.6073944359991529,32
client_4,4843.633236758464,0,7,0.5638611005974353,28
client_2,2557.6932272617782,1,6,0.6238758499687245,28
client_2,4289.1038375539165,2,12,0.5109645119148994,34
client_5,1374.7101529769286,1,2,0.8233265661233757,27
client_1,2351.0925727550534,1,6,0.6519042730647354,22
client_5,3647.804948452372,4,2,0.4625488866027721,34
client_4,1122.588915880106,4,2,0.9297022012921978,25
client_4,1097.3544000933641,4,2,0.568723854961248,27
client_4,4862.915902013716,5,11,0.680487002779792,26
client_4,3715.6779688097845,2,3,0.9345304776751828,26
client_4,684.803825455441,4,2,0.7369665971397944,22
client_3,2294.6940565015752,0,4,0.38182862849585486,28
client_2,2450.843319113339,5,9,0.9578824865294325,22
client_4,3848.191893496019,3,6,0.7393956371499925,28
client_1,1628.8723730599754,0,1,0.5344339302599602,32
client_1,1329.501534491165,6,8,0.39749045086437107,38
client_1,863.9283497773895,6,12,0.8558176324892072,26
client_1,2427.415137230485,0,7,0.7340509291499594,27
client_3,3598.2495534441487,4,10,0.6734227643834251,28
client_1,761.8711797879962,3,3,0.9257248081356703,21
client_4,4618.461774319162,3,1,0.8520180478571715,36
client_5,2490.58503378997,5,5,0.4061724158129258,30
client_1,1579.0431162083146,3,4,0.5182054474568837,24
client_3,922.4298053658129,6,10,0.473942397870126,24
client_3,1322.896986982883,2,8,0.8207624048008738,16
client_1,4705.762988028694,4,1,0.32347270431504554,43
client_5,3372.2176722950767,3,10,0.6989227794099215,36
client_1,2825.13315841955,5,1,0.8337210800184833,25
client_3,3457.000978250751,6,12,0.9137359457332246,19
client_2,2460.52804405051,2,4,0.5394572241011352,26
client_4,3785.1769245281835,1,8,0.8748801132704089,27
client_3,714.7225746124195,1,5,0.37744221586864507,36
client_1,3047.1674472233435,2,2,0.8925166042141627,25
client_4,1213.9090143912097,6,6,0.38924206363238767,37
client_1,1040.7409151253898,5,5,0.5781011033922571,30
client_1,2038.458500223807,2,2,0.8581067560456875,19
client_2,913.0957961604885,4,11,0.40494219914414165,26
client_4,923.7064472085206,4,11,0.460475976662849,26
client_4,1901.359892260824,1,11,0.8055767978751464,22
client_2,4907.7973787967885,3,3,0.804025575582252,27
client_3,1288.9862145020234,5,9,0.7488033430197081,30
client_1,577.224958242876,1,7,0.78576391112697,29
client_5,3935.139903517599,3,7,0.6799071103433173,30
client_1,4131.108396728508,3,11,0.4762593412348669,29
client_1,2058.3694449023037,4,6,0.5419871954527435,29
client_3,2591.0321582282513,6,8,0.42711840176099797,35
client_1,3423.981571892435,0,4,0.9359153929335398,24
client_2,716.2651588866518,6,8,0.7083742563362843,17
client_2,4771.155792161237,0,4,0.5805959917345479,33
client_4,4490.061742841214,2,8,0.6234040625508929,30
client_5,1674.0213050377129,4,9,0.9630983377282707,16
client_1,568.8704313067313,3,3,0.4073459821812561,34
client_1,4700.463386357674,5,3,0.710360882411758,27
client_3,2754.6794776186666,0,11,0.6541220752191261,25
client_2,2927.1985178002815,6,2,0.7280179648042534,33
client_5,3577.836962291635,3,10,0.31267712867458836,41
client_4,3271.330239754612,0,3,0.910486736260906,19
client_2,4747.512220523407,0,3,0.9524827977385286,21
client_4,4749.132187063253,0,5,0.6955932285124462,25
client_3,4402.395200997517,5,5,0.7876555767138246,37
client_3,3363.816188507051,4,2,0.9457495668241069,21
client_1,4104.271826070799,5,12,0.795067044019379,25
client_5,3547.2575407234176,1,10,0.4067773300399829,38
client_4,3080.1516875237,3,6,0.7034018521167692,31
